Player,Position,Team,Target Share,Catch Rate,Proj. Receptions,Final YpC,Proj. Receiving Yards,Proj. RecTDs,ATTD Prob. %,Standard Fantasy Score,PPR Fantasy Score
Erick All,TE,CIN,0.11692906618473402,0.7379657956885407,2.8618670001474578,9.767795616803557,27.954131939915083,0.24224703599349262,20.742186721770608,4.248895409952464,7.110762410099921
Jonathan Mingo,WR,CAR,0.13157930690539346,0.5908167687245399,2.5786472422716593,10.657987241923488,27.48318940955253,0.11791447921827511,14.278468146402318,3.4558058162649035,6.034453058536563
Mike Williams,WR,NYJ,0.09723451788677177,0.5988353966418682,1.9893462597444287,13.449054080575735,26.754825432293885,0.1544054264610839,18.494101948844577,3.6019151019958917,5.591261361740321
Luke McCaffrey,WR,WAS,0.1145092823380276,0.7375863765709353,2.496424326193665,10.50915395275074,26.235307575361258,0.17230954596828596,17.539669066493172,3.6573880333458417,6.153812359539507
Mark Andrews,TE,BAL,0.117566890282315,0.6230172245039763,2.190525776118537,11.765303198893015,25.772199921025027,0.19885276542578048,21.67125258882469,3.7703365846571857,5.960862360775723
Charlie Kolar,TE,BAL,0.09191100278027664,0.6868127894110921,1.8878572903036968,13.267361165403448,25.046884499199052,0.1563806087426327,13.772837301711673,3.4429721023757014,5.330829392679398
Elijah Moore,WR,CLE,0.1305629670441872,0.6117453219458081,2.5760945048607504,9.491269956747685,24.450408379727644,0.18202796629016632,18.068414468348422,3.5372086357137626,6.113303140574513
Dyami Brown,WR,WAS,0.10024650973034539,0.674127412878928,1.9974507271529012,11.97428580891255,23.91804589614904,0.15852930754220132,15.230977943500312,3.342980434868112,5.340431162021013
Dalton Schultz,TE,HOU,0.12342883915075138,0.6236596290816162,2.48178198895519,9.456875342664311,23.469902897218727,0.14145303127267955,16.91175689795335,3.19570847735795,5.67749046631314
Nelson Agholor,WR,BAL,0.11004065100374556,0.5679163176447637,1.868963334600317,12.26983510020879,22.931871923882234,0.16696401674663572,15.408546905710264,3.2949712928680377,5.163934627468355
Mack Hollins,WR,BUF,0.12390659483946571,0.520100398422236,1.941503236544776,11.770530343571531,22.852522757892622,0.11185569459681638,13.010209531424632,2.9563864433701608,4.897889679914937
Tommy Tremble,TE,CAR,0.09278338663889274,0.6433740109105758,1.980091509044676,11.100051111356183,21.979116955558297,0.15691350780132565,16.629219178412015,3.1393927423637837,5.11948425140846
Ja'Tavion Sanders,TE,CAR,0.09759640566038492,0.6362126991182228,2.0596227700955994,10.237059813764361,21.084481491259695,0.1710070311534726,17.494029778659055,3.134490336046805,5.194113106142405
Lil'Jordan Humphrey,WR,DEN,0.10475053230333077,0.6231054075743542,1.8832874330582778,10.59493370617943,19.953305502933286,0.09183602426525765,12.14530524917009,2.546346695884875,4.429634128943153
Dawson Knox,TE,BUF,0.08618256673542272,0.5773924204286445,1.4991566419587763,12.116649438969295,18.1647554847169,0.11655761686869757,12.39348307271184,2.515821249683875,4.014977891642651
Jahan Dotson,WR,PHI,0.10157069357451519,0.5782467304745121,1.6982295044741658,10.577363128509155,17.962790144371414,0.14337886435245611,14.910339780683426,2.6565522005518782,4.354781705026044
Marquez Valdes-Scantling,WR,BUF,0.09198553364506389,0.444416119339055,1.2315891249418414,14.177545477173085,17.46091082805476,0.10940604000095666,14.033441060148084,2.402527322811216,3.6341164477530574
Gerald Everett,TE,CHI,0.08265418148454391,0.6251025048679429,1.588247839858513,10.59781592148462,16.831958244516105,0.11106463594496582,11.958383580882712,2.3495836401214056,3.9378314799799186
Xavier Hutchinson,WR,HOU,0.07672649541227929,0.5622101970958848,1.390731949570894,12.059761343945048,16.771895405224402,0.08591783866249936,10.460585605882404,2.1926965724974363,3.5834285220683304
